ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Income;Family_Size;Var_1;Segmentation
462809;Male;No;22;No;Healthcare;1;Low;418876;4;Cat_4;B
462643;Female;Yes;38;Yes;Engineer;;Average;117842;3;Cat_4;A
466315;Female;Yes;67;Yes;Engineer;1;Low;107713;1;Cat_6;B
461735;Male;Yes;"""67""";Yes;Lawyer;0;High;160208;2;Cat_6;B
462669;Female;Yes;40;Yes;Entertainment;;High;68233;6;Cat_6;A
461319;Male;Yes;56;No;Artist;0;Average;64582;2;Cat_6;A
460156;Male;No;32;Yes;Healthcare;1;Low;461116;3;Cat_6;A
464347;Female;No;33;Yes;Healthcare;1;Low;353446;3;Cat_6;B
465015;Fe male;Yes;61;Yes;Engineer;0;Low;116369;3;Cat_7;B
465176;Female;Yes;55;Yes;Artist;1;Average;42354;4;Cat_6;A
464041;Female;No;26;Yes;Engineer;1;Low;116495;3;Cat_6;A
464942;Male;No;19;No;Healthcare;4;Low;310213;4;Cat_4;B
461230;Female;No;19;No;Executive;0;Low;123502;;Cat_3;B
459573;Male;Yes;70;No;Lawyer;;Low;164464;1;Cat_6;A
460849;Female;Yes;58;No;Doctor;0;Low;403687;1;Cat_3;B
460563;Female;No;41;No;Healthcare;1;Low;440366;2;Cat_1;A
466865;Female;No;32;Other;Homemaker;9;Low;27843;5;Cat_3;B
461644;Male;No;31;No;Healthcare;1;Low;370448;6;Cat_6;B
466772;Male;Yes;58;Other;Entertainment;1;Average;56677;4;Cat_6;B
464291;Female;Yes;79;Other;Artist;0;High;76102;1;Cat_6;A
466084;Male;Yes;49;Other;Homemaker;12;Low;29779;1;Cat_3;A
459675;Female;No;18;No;Healthcare;3;Low;362886;4;Cat_6;B
465602;m;Yes;33;Other;Artist;13;Low;82764;2;Cat_3;A
459168;Female;No;36;Other;Artist;5;Low;86662;2;Cat_6;B
461021;Female;;58;No;Executive;1;Average;132717;3;Cat_3;B
465083;Male;Yes;56;No;Artist;1;Average;48434;3;Cat_6;A
467604;Male;No;31;No;Healthcare;9;Low;401885;8;Cat_4;A
459717;Male;Yes;49;Yes;Artist;1;Average;99341;3;Cat_6;A
465882;Male;No;35;Yes;Artist;0;Low;85814;1;Cat_6;B
461996;Female;No;35;No;Artist;5;Low;66828;4;Cat_6;A
463331;Female;Yes;45;Yes;Artist;0;Low;101592;3;Cat_6;A
462216;Female;Yes;42;No;Doctor;1;Low;482234;2;Cat_4;A
462454;Male;No;19;No;Healthcare;1;Low;360578;3;Cat_2;B
467010;Male;No;26;No;Homemaker;9;Low;36365;;Cat_6;B
459861;Female;Yes;83;No;Lawyer;1;High;190831;2;Cat_6;B
467917;Female;No;27;Yes;Healthcare;3;Low;439578;4;Cat_1;B
465572;Male;No;32;No;Doctor;5;Low;464418;1;Cat_4;B
460593;Female;Yes;28;No;Healthcare;1;Average;368928;5;Cat_3;B
465891;Female;Yes;28;Yes;Artist;8;Low;80869;2;Cat_6;A
467442;Male;Yes;56;Yes;Artist;;Average;64256;2;Cat_6;A
462044;Female;No;47;Yes;Artist;4;Low;99411;1;Cat_6;B
465686;Female;No;22;No;Healthcare;0;Low;462802;2;Cat_6;B
464590;Female;No;27;Yes;Artist;14;Low;75130;3;Cat_6;A
466006;Female;Yes;49;Yes;Artist;1;Low;90108;2;;A
466152;Male;Yes;40;No;Engineer;8;Low;103430;1;Cat_6;A
463156;Female;Yes;79;No;Lawyer;;High;93752;2;Cat_6;A
465729;Male;Yes;41;Yes;Artist;0;Average;49824;4;Cat_4;B
462384;Female;No;29;Yes;Healthcare;;Low;444871;1;Cat_7;A
462442;Male;No;19;No;Healthcare;0;Low;349433;4;Cat_6;B
464191;Female;No;45;Yes;Engineer;1;Low;109375;1;Cat_6;A
462078;Female;Yes;61;No;Artist;1;Average;45350;2;Cat_2;B
467873;Female;Yes;36;Yes;Artist;1;Average;60512;2;Cat_6;A
461270;Male;Yes;40;Yes;Artist;1;Low;99738;1;Cat_3;A
462960;Female;Yes;57;Yes;Entertainment;0;Average;99018;2;Cat_6;A
464961;Male;Yes;76;No;Marketing;1;Low;97832;1;Cat_4;A
462110;Male;Yes;32;Yes;Artist;14;Average;80203;2;Cat_6;B
465769;Male;No;25;Yes;Healthcare;9;Low;452038;4;Cat_6;B
462267;Male;No;32;;Doctor;8;Low;360371;2;Cat_6;B
465269;Female;Yes;45;Yes;Artist;1;Average;96170;3;Cat_3;A
460881;Male;Yes;72;Yes;Lawyer;1;Low;118899;;Cat_4;B
461891;Male;Yes;48;Yes;Artist;0;Average;54453;2;Cat_6;A
466935;Male;Yes;55;Yes;Artist;9;Average;44355;2;Cat_1;A
